66,Ереван,Армения Армения
67,Иерусалим,Израиль Израиль
68,Исламабад,Пакистан Пакистан
69,Кабул,Афганистан Афганистан
70,Катманду,Непал Непал
71,Куала-Лумпур,Малайзия Малайзия
72,Мале,Мальдивы Мальдивы
73,Манама,Бахрейн Бахрейн
74,Манила,Филиппины Филиппины
75,Маскат,Оман Оман
76,Нейпьидо,Мьянма Мьянма
77,Никосия,Кипр Кипр
78,Пекин,КНР КНР
79,Пномпень,Камбоджа Камбоджа
80,Пхеньян,КНДР КНДР
81,Сана,Йемен Йемен
82,Сеул,Республика Корея Республика Корея
83,Сингапур,Сингапур Сингапур
84,Ташкент,Узбекистан Узбекистан
85,Тбилиси,Грузия Грузия
86,Тегеран,Иран Иран
87,Токио,Япония Япония
88,Тхимпху,Бутан Бутан
89,Улан-Батор,Монголия Монголия
90,Ханой,Вьетнам Вьетнам
91,Шри-Джаяварденепура-Котте,Шри-Ланка Шри-Ланка
92,Эль-Кувейт,Кувейт Кувейт
93,Эр-Рияд,Саудовская Аравия Саудовская Аравия
94,Лефкоша,Турецкая Республика Северного Кипра Турецкая Республика Северного Кипра
95,Рамалла,Государство Палестина Государство Палестина
96,Сухум,Абхазия Абхазия
97,Тайбэй,Китайская Республика Китайская Республика
98,Цхинвал,Южная Осетия Южная Осетия
99,Абуджа,Нигерия Нигерия
100,Аддис-Абеба,Эфиопия Эфиопия
101,Аккра,Гана Гана
102,Алжир,Алжир Алжир
103,Антананариву,Мадагаскар Мадагаскар
104,Асмэра,Эритрея Эритрея
105,Бамако,Мали Мали
106,Банги,ЦАР ЦАР
107,Банжул,Гамбия Гамбия
108,Бисау,Гвинея-Бисау Гвинея-Бисау
109,Браззавиль,Республика Конго Республика Конго
110,Бужумбура,Бурунди Бурунди
111,Виктория,Сейшельские Острова Сейшельские Острова
112,Виндхук,Намибия Намибия
113,Габороне,Ботсвана Ботсвана
114,Дакар,Сенегал Сенегал
115,Джибути,Джибути Джибути
116,Джуба,Южный Судан Южный Судан
117,Додома,Танзания Танзания
118,Каир,Египет Египет
119,Кампала,Уганда Уганда
120,Кигали,Руанда Руанда
121,Киншаса,ДР Конго ДР Конго
122,Конакри,Гвинея Гвинея
123,Либревиль,Габон Габон
124,Лилонгве,Малави Малави
125,Ломе,Того Того
126,Луанда,Ангола Ангола
127,Лусака,Замбия Замбия
128,Малабо,Экваториальная Гвинея Экваториальная Гвинея
129,Мапуту,Мозамбик Мозамбик
130,Масеру,Лесото Лесото
131,Мбабане,Свазиленд Свазиленд
132,Могадишо,Сомали Сомали
133,Монровия,Либерия Либерия
134,Морони,Коморы Коморы
135,Найроби,Кения Кения
136,Нджамена,Чад Чад
137,Ниамей,Нигер Нигер
138,Нуакшот,Мавритания Мавритания
139,Порт-Луи,Маврикий Маврикий
140,Порто-Ново,Бенин Бенин
141,Прая,Кабо-Верде Кабо-Верде
142,Претория,ЮАР ЮАР
143,Рабат,Марокко Марокко
144,Сан-Томе,Сан-Томе и Принсипи Сан-Томе и Принсипи
145,Триполи,Ливия
146,Тунис,Тунис Тунис
147,Уагадугу,Буркина-Фасо Буркина-Фасо
148,Фритаун,Сьерра-Леоне Сьерра-Леоне
149,Хараре,Зимбабве Зимбабве
150,Хартум,Судан Судан
151,Ямусукро,Кот-д’Ивуар Кот-д’Ивуар
152,Яунде,Камерун Камерун
153,Харгейса,Сомалиленд Сомалиленд
154,"Эль-Аюн, Бир-Лелу",Сахарская Арабская Демократическая Республика Сахарская Арабская Демократическая Республика
155,Асунсьон,Парагвай Парагвай
156,Бастер,Сент-Китс и Невис Сент-Китс и Невис
157,Бельмопан,Белиз Белиз
158,Богота,Колумбия Колумбия
159,Бразилиа (также,Бразилия Бразилия
,называется Бразилия),
160,Бриджтаун,Барбадос Барбадос
161,Буэнос-Айрес,Аргентина Аргентина
162,Вашингтон,США США
163,Гавана,Куба Куба
164,Гватемала,Гватемала Гватемала
165,Джорджтаун,Гайана Гайана
166,Каракас,Венесуэла Венесуэла
167,Кастри,Сент-Люсия Сент-Люсия
168,Кингстаун,Сент-Винсент и Гренадины Сент-Винсент и Гренадины
169,Кингстон,Ямайка Ямайка
170,Кито,Эквадор Эквадор
171,Лима,Перу Перу
172,Манагуа,Никарагуа Никарагуа
173,Мехико,Мексика Мексика
174,Монтевидео,Уругвай Уругвай
175,Нассау,Багамы Багамы
176,Оттава,Канада Канада
177,Панама,Панама Панама
178,Парамарибо,Суринам Суринам
179,Порт-о-Пренс,Гаити Гаити
180,Порт-оф-Спейн,Тринидад и Тобаго Тринидад и Тобаго
181,Розо,Доминика Доминика
182,Сан-Сальвадор,Сальвадор Сальвадор
183,Сан-Хосе,Коста-Рика Коста-Рика
184,Санто-Доминго,Доминиканская Республика Доминиканская Республика
185,Сантьяго,Чили Чили
186,Сент-Джонс,Антигуа и Барбуда Антигуа и Барбуда
187,Сент-Джорджес,Гренада Гренада
188,Сукре,Боливия Боливия
189,Тегусигальпа,Гондурас Гондурас
190,Кайенна,Гвиана Гвиана
191,Апиа,Самоа Самоа
192,Веллингтон,Новая Зеландия Новая Зеландия
193,Канберра,Австралия Австралия
194,Маджуро,Маршалловы Острова Маршалловы Острова
195,Нгерулмуд,Палау Палау
196,Нукуалофа,Тонга Тонга
197,Паликир,Микронезия Микронезия
198,Порт-Вила,Вануату Вануату
199,Порт-Морсби,Папуа — Новая Гвинея Папуа — Новая Гвинея
200,Сува,Фиджи Фиджи
201,Фунафути,Тувалу Тувалу
202,Хониара,Соломоновы Острова Соломоновы Острова
203,Южная Тарава (Баирики),Кирибати Кирибати
204,Официальной столицы нет,Науру Науру
